Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
 Fine Organic Industries Ltd.,Chemicals - speciality,5230.8,5.01%,5.01% (Aug 2022),3.16% (Sep 2021)
 Galaxy Surfactants Ltd.,Chemicals - speciality,5200.6,4.98%,5.3% (Sep 2021),4.34% (Mar 2022)
 Narayana Hrudayalaya Ltd.,Hospital,4137.1,3.96%,4.12% (Apr 2022),3.41% (Sep 2021)
Brigade Enterprises Ltd.,Residential/commercial/sez project,4066.9,3.90%,4.75% (Nov 2021),3.79% (Apr 2022)
 Birlasoft Ltd.,Computers - software,3646.5,3.49%,4.71% (Dec 2021),2.66% (Sep 2021)
 CCL Products (India) Ltd.,Tea & coffee,3472.6,3.33%,3.69% (Jan 2022),2.85% (May 2022)
 Krishna Institute of Medical Sciences Ltd.,Hospital,2908.6,2.79%,3.3% (Dec 2021),2.53% (Oct 2021)
 Blue Star Ltd.,Air conditioner,2770.6,2.65%,2.65% (Aug 2022),1.72% (Jan 2022)
 City Union Bank Ltd.,Banks,2721.9,2.61%,2.61% (Aug 2022),1.02% (Mar 2022)
 Orient Refractories Ltd.,Castings/forgings,2454.9,2.35%,2.83% (Mar 2022),1.84% (Nov 2021)
 Grindwell Norton Ltd.,Abrasives,2426.1,2.32%,2.55% (Dec 2021),1.95% (Jul 2022)
 J K Lakshmi Cement Ltd.,Cement,2275.9,2.18%,3.62% (Sep 2021),2.07% (Jun 2022)
 Can Fin Homes Ltd.,Housing finance,2210.4,2.12%,2.53% (Sep 2021),1.53% (Jun 2022)
 Mahindra CIE Automotive Ltd.,Castings/forgings,1924.4,1.84%,1.92% (Jul 2022),0.99% (Mar 2022)
 Chemplast Sanmar Ltd.,Chemicals - organic,1784.9,1.71%,3.01% (Sep 2021),1.71% (Aug 2022)
 Ahluwalia Contracts (India) Ltd.,Construction civil,1717.7,1.65%,2.2% (Apr 2022),1.65% (Aug 2022)
 Persistent Systems Ltd.,Computers - software,1692.6,1.62%,2.15% (Dec 2021),1.33% (Jul 2022)
 Rolex Rings Private Ltd.,Auto ancillaries,1578,1.51%,1.62% (Jul 2022),1.1% (Nov 2021)
 Neogen Chemicals Ltd.,Chemicals - speciality,1529.7,1.47%,2.06% (Dec 2021),0.24% (Jul 2022)
 Coforge Ltd.,Computers - software,1386.4,1.33%,2.79% (Sep 2021),1.33% (Aug 2022)
 MTAR Technologies Ltd.,Defense,1360.3,1.30%,1.59% (Mar 2022),0.71% (Sep 2021)
 Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals - inorganic,1208.2,1.16%,1.16% (Aug 2022),0% (Sep 2021)
 Orient Electric Ltd.,Home appliances,1173.7,1.12%,2.24% (Nov 2021),1.12% (Aug 2022)
 J.K. Cement Ltd.,Cement,1163.7,1.12%,2.05% (Oct 2021),1.01% (Jun 2022)
 Sudarshan Chemical Industries Ltd.,Dyes and pigments,1121.4,1.07%,1.6% (Sep 2021),0.97% (May 2022)
 PNC Infratech Ltd.,Construction civil,1083.7,1.04%,2.84% (Sep 2021),0.99% (Jul 2022)
 Sundaram Finance Limited,Nbfc,1015.3,0.97%,0.97% (Aug 2022),0% (Sep 2021)
 KNR Constructions,Construction civil,1010.2,0.97%,1.52% (Sep 2021),0.97% (Aug 2022)
 KPIT Technologies Ltd.,Computers - software,1002.3,0.96%,2% (Jan 2022),0.96% (Aug 2022)
 Vesuvius India Ltd.,Refractories,993.9,0.95%,1.16% (Sep 2021),0.76% (Apr 2022)
 Tata Elxsi Ltd.,Computers - software,991.7,0.95%,5.59% (Sep 2021),0.95% (Aug 2022)
 TCNS Clothing Company Ltd.,Fabrics and garments,945.2,0.91%,1.67% (Nov 2021),0.91% (Aug 2022)
 Heidelberg Cement India Ltd.,Cement,930,0.89%,1.04% (Sep 2021),0.6% (May 2022)
 Mas Financial Services Ltd.,Nbfc,914.8,0.88%,1.3% (Sep 2021),0.67% (Jul 2022)
 J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,865.8,0.83%,0.83% (Aug 2022),0% (Sep 2021)
 Minda Industries Ltd.,Auto ancillaries,850.7,0.82%,0.87% (Dec 2021),0.6% (Mar 2022)
 Alicon Castalloy Ltd.,Castings/forgings,805.2,0.77%,1.07% (Oct 2021),0.72% (Jun 2022)
